trial,strategy,M,ops_retained,auto_coverage,info_retention,tau_causal,tau_contested,semantic_validity,gini,time_ms
210000,lww,24,1.0,1.0,0.634624145785877,10,792,0.3333333333333333,0.1428927680798005,0.025899999855028
210000,vc,24,1.0,0.45833333333333337,0.5735763097949886,0,936,1.0,0.07606837606837606,0.04639999997380073
210000,crdt_pure,24,1.0,0.4583333333333333,0.6929384965831435,0,674,0.6666666666666666,0.13175074183976263,0.02480000011928496
210000,crdt_lww,24,1.0,1.0,0.634624145785877,10,792,0.3333333333333333,0.1428927680798005,0.012400000287016155
210000,leader,24,0.3333333333333333,1.0,0.9676537585421412,0,71,1.0,0.252112676056338,0.007099999947968172
210000,ranked_pairs,24,1.0,1.0,0.7476082004555809,0,554,1.0,0.1776173285198556,0.7621999998264073
210001,lww,24,1.0,1.0,0.6364037020713971,7,818,0.75,0.05466666666666667,0.012699999842880061
210001,vc,24,1.0,0.5833333333333333,0.5857205817540767,0,940,0.5,0.07042553191489362,0.04279999984646565
210001,crdt_pure,24,1.0,0.5833333333333334,0.6967827236668136,0,688,0.25,0.13575581395348837,0.022700000045006163
210001,crdt_lww,24,1.0,1.0,0.6364037020713971,7,818,0.75,0.05466666666666667,0.011899999663000926
210001,leader,24,0.2916666666666667,1.0,0.9744380784486558,7,51,1.0,0.3413793103448276,0.00760000011723605
210001,ranked_pairs,24,1.0,1.0,0.746584398413398,0,575,0.5,0.1862608695652174,0.763200000164943
210002,lww,24,1.0,1.0,0.6784386617100372,14,678,0.8571428571428571,0.09190751445086705,0.013300000318849925
210002,vc,24,1.0,0.5833333333333333,0.5171933085501859,0,1039,0.7142857142857143,0.09133782483156881,0.055900000006658956
210002,crdt_pure,24,1.0,0.5833333333333334,0.7360594795539033,0,568,0.7142857142857143,0.16126760563380282,0.027099999897473026
210002,crdt_lww,24,1.0,1.0,0.6784386617100372,14,678,0.8571428571428571,0.09190751445086705,0.012800000149582047
210002,leader,24,0.3333333333333333,1.0,0.9786245353159851,0,46,1.0,0.2565217391304348,0.00670000008540228
210002,ranked_pairs,24,1.0,1.0,0.7639405204460966,0,508,0.7142857142857143,0.15078740157480314,0.8123000002342451
210003,lww,24,1.0,1.0,0.6532329495128433,8,775,0.0,0.13780332056194125,0.012800000149582047
210003,vc,24,1.0,0.7083333333333333,0.6045172719220548,0,893,0.0,0.11231802911534154,0.044800000068789814
210003,crdt_pure,24,1.0,0.7083333333333334,0.7227635075287866,0,626,0.0,0.13386581469648562,0.022200000330485636
210003,crdt_lww,24,1.0,1.0,0.6532329495128433,8,775,0.0,0.13780332056194125,0.012299999980314169
210003,leader,24,0.2916666666666667,1.0,0.9720992028343667,0,63,1.0,0.24285714285714285,0.006600000233447645
210003,ranked_pairs,24,1.0,1.0,0.766607617360496,0,527,1.0,0.16413662239089183,0.7808999998815125
210004,lww,24,1.0,1.0,0.6642209753992232,17,761,1.0,0.13110539845758354,0.012900000001536682
210004,vc,24,1.0,0.7916666666666666,0.5727233491583945,0,990,1.0,0.06484848484848485,0.0442000000475673
210004,crdt_pure,24,1.0,0.7916666666666666,0.7065170479067759,0,680,1.0,0.14911764705882352,0.02139999969585915
210004,crdt_lww,24,1.0,1.0,0.6642209753992232,17,761,1.0,0.13110539845758354,0.012999999853491317
210004,leader,24,0.375,1.0,0.944324557617609,0,129,1.0,0.28294573643410853,0.007000000096013537
210004,ranked_pairs,24,1.0,1.0,0.7695295640914976,0,534,1.0,0.17415730337078653,0.8143999998537765
210005,lww,24,1.0,1.0,0.6969561324977618,16,661,1.0,0.09911373707533234,0.012799999694834696
210005,vc,24,1.0,0.75,0.701880035810206,0,666,1.0,0.17567567567567569,0.04470000021683518
210005,crdt_pure,24,1.0,0.75,0.7135183527305282,0,640,1.0,0.1196875,0.01920000022437307
210005,crdt_lww,24,1.0,1.0,0.6969561324977618,16,661,1.0,0.09911373707533234,0.011899999663000926
210005,leader,24,0.4166666666666667,1.0,0.9444941808415398,8,116,1.0,0.2693548387096774,0.007199999799922807
210005,ranked_pairs,24,1.0,1.0,0.7748433303491495,0,503,1.0,0.19025844930417496,0.7765999998810003
210006,lww,24,1.0,1.0,0.7130857648099027,0,649,1.0,0.11571648690292759,0.01249999968422344
210006,vc,24,1.0,0.5416666666666667,0.6242263483642794,0,850,1.0,0.132,0.04379999973025406
210006,crdt_pure,24,1.0,0.5416666666666666,0.7250221043324492,0,622,1.0,0.11543408360128618,0.02189999986512703
210006,crdt_lww,24,1.0,1.0,0.7130857648099027,0,649,1.0,0.11571648690292759,0.012100000276404899
210006,leader,24,0.375,1.0,0.9796640141467727,0,46,1.0,0.2956521739130435,0.006399999620043673
210006,ranked_pairs,24,1.0,1.0,0.7696728558797524,0,521,1.0,0.13570057581573897,0.7587000000057742
210007,lww,24,1.0,1.0,0.6165413533834587,23,793,0.6,0.11715686274509804,0.012700000297627412
