trial,strategy,M,ops_retained,auto_coverage,info_retention,tau_causal,tau_contested,semantic_validity,gini,time_ms
0,lww,24,1.0,1.0,0.6304347826086957,10,1010,0.3333333333333333,0.12313725490196079,0.013699998817173764
0,vc,24,1.0,0.45833333333333337,0.577536231884058,0,1166,1.0,0.11149228130360206,0.04830000034417026
0,crdt_pure,24,1.0,0.4583333333333333,0.6579710144927536,0,944,0.6666666666666666,0.10508474576271186,0.02510000194888562
0,crdt_lww,24,1.0,1.0,0.6304347826086957,10,1010,0.3333333333333333,0.12313725490196079,0.013299999409355223
0,leader,24,0.3333333333333333,1.0,0.9659420289855073,0,94,1.0,0.2957446808510638,0.00799999907030724
0,ranked_pairs,24,1.0,1.0,0.713768115942029,0,790,0.6666666666666666,0.13341772151898734,0.8887000003596768
1,lww,24,1.0,1.0,0.6384057971014493,10,988,0.75,0.06633266533066132,0.012900000001536682
1,vc,24,1.0,0.5833333333333333,0.5898550724637681,0,1132,0.5,0.06713780918727916,0.043700001697288826
1,crdt_pure,24,1.0,0.5833333333333334,0.7007246376811594,0,826,0.25,0.1016949152542373,0.024000000848900527
1,crdt_lww,24,1.0,1.0,0.6384057971014493,10,988,0.75,0.06633266533066132,0.012900000001536682
1,leader,24,0.2916666666666667,1.0,0.981159420289855,0,52,1.0,0.3230769230769231,0.010700001439545304
1,ranked_pairs,24,1.0,1.0,0.7557971014492754,0,674,0.5,0.16172106824925817,1.0012999991886318
2,lww,24,1.0,1.0,0.6445652173913043,20,961,0.8571428571428571,0.081855249745158,0.012500000593718141
2,vc,24,1.0,0.5833333333333333,0.5402173913043478,0,1269,0.7142857142857143,0.05965327029156817,0.06209999992279336
2,crdt_pure,24,1.0,0.5833333333333334,0.6822463768115943,0,877,0.7142857142857143,0.08973774230330672,0.027900001441594213
2,crdt_lww,24,1.0,1.0,0.6445652173913043,20,961,0.8571428571428571,0.081855249745158,0.0121000011858996
2,leader,24,0.3333333333333333,1.0,0.9782608695652174,0,60,1.0,0.14666666666666667,0.007599999662488699
2,ranked_pairs,24,1.0,1.0,0.7423913043478261,0,711,0.7142857142857143,0.08537271448663854,0.8922999986680225
3,lww,24,1.0,1.0,0.6344202898550725,10,999,0.0,0.08969276511397423,0.014199998986441642
3,vc,24,1.0,0.7083333333333333,0.6213768115942029,0,1045,0.0,0.06325358851674641,0.04430000262800604
3,crdt_pure,24,1.0,0.7083333333333334,0.6952898550724638,0,841,0.0,0.09690844233055886,0.022199998056748882
3,crdt_lww,24,1.0,1.0,0.6344202898550725,10,999,0.0,0.08969276511397423,0.01340000017080456
3,leader,24,0.2916666666666667,1.0,0.9666666666666667,0,92,1.0,0.27608695652173915,0.008200000593205914
3,ranked_pairs,24,1.0,1.0,0.743840579710145,0,707,0.0,0.0685997171145686,0.9152000020549167
4,lww,24,1.0,1.0,0.6532608695652173,20,937,1.0,0.0993730407523511,0.013900000340072438
4,vc,24,1.0,0.7916666666666666,0.5735507246376812,0,1177,1.0,0.08861512319456245,0.04439999975147657
4,crdt_pure,24,1.0,0.7916666666666666,0.6873188405797102,0,863,1.0,0.09976825028968714,0.02040000254055485
4,crdt_lww,24,1.0,1.0,0.6532608695652173,20,937,1.0,0.0993730407523511,0.012000000424450263
4,leader,24,0.375,1.0,0.9478260869565217,0,144,1.0,0.26944444444444443,0.007300001016119495
4,ranked_pairs,24,1.0,1.0,0.7525362318840579,0,683,1.0,0.09912152269399707,0.8918000021367334
5,lww,24,1.0,1.0,0.6699275362318841,20,891,1.0,0.10878155872667399,0.012299999070819467
5,vc,24,1.0,0.75,0.6851449275362319,0,869,1.0,0.09654775604142693,0.04329999865149148
