conflict,trial,strategy,M,causal_density,tau_causal,tau_contested,tauhat,info_retention
low,0,lww,24,0.37681159420289856,40,561,0.2177536231884058,0.7822463768115941
low,0,vc,24,0.37681159420289856,0,483,0.175,0.825
low,0,crdt_pure,24,0.37681159420289856,0,511,0.18514492753623188,0.8148550724637681
low,0,crdt_lww,24,0.37681159420289856,40,561,0.2177536231884058,0.7822463768115941
low,0,leader,24,0.37681159420289856,0,438,0.15869565217391304,0.841304347826087
low,0,ranked_pairs,24,0.37681159420289856,0,381,0.13804347826086957,0.8619565217391304
low,1,lww,24,0.32608695652173914,150,1180,0.48188405797101447,0.5181159420289856
low,1,vc,24,0.32608695652173914,0,604,0.21884057971014492,0.7811594202898551
low,1,crdt_pure,24,0.32608695652173914,0,642,0.2326086956521739,0.7673913043478261
low,1,crdt_lww,24,0.32608695652173914,150,1180,0.48188405797101447,0.5181159420289856
low,1,leader,24,0.32608695652173914,0,344,0.1246376811594203,0.8753623188405797
low,1,ranked_pairs,24,0.32608695652173914,0,514,0.186231884057971,0.813768115942029
low,2,lww,24,0.19927536231884058,70,891,0.3481884057971015,0.6518115942028986
low,2,vc,24,0.19927536231884058,0,853,0.3090579710144927,0.6909420289855073
low,2,crdt_pure,24,0.19927536231884058,0,733,0.26557971014492754,0.7344202898550725
low,2,crdt_lww,24,0.19927536231884058,70,891,0.3481884057971015,0.6518115942028986
low,2,leader,24,0.19927536231884058,0,248,0.08985507246376812,0.9101449275362319
low,2,ranked_pairs,24,0.19927536231884058,0,597,0.21630434782608696,0.783695652173913
low,3,lww,24,0.37681159420289856,20,560,0.21014492753623187,0.7898550724637681
low,3,vc,24,0.37681159420289856,0,592,0.2144927536231884,0.7855072463768116
low,3,crdt_pure,24,0.37681159420289856,0,500,0.18115942028985507,0.8188405797101449
low,3,crdt_lww,24,0.37681159420289856,20,560,0.21014492753623187,0.7898550724637681
low,3,leader,24,0.37681159420289856,0,341,0.12355072463768116,0.8764492753623189
low,3,ranked_pairs,24,0.37681159420289856,0,396,0.14347826086956522,0.8565217391304347
low,4,lww,24,0.35507246376811596,10,567,0.20905797101449275,0.7909420289855073
low,4,vc,24,0.35507246376811596,0,663,0.24021739130434783,0.7597826086956522
low,4,crdt_pure,24,0.35507246376811596,0,541,0.19601449275362318,0.8039855072463769
low,4,crdt_lww,24,0.35507246376811596,10,567,0.20905797101449275,0.7909420289855073
low,4,leader,24,0.35507246376811596,0,234,0.08478260869565217,0.9152173913043479
low,4,ranked_pairs,24,0.35507246376811596,0,483,0.175,0.825
low,5,lww,24,0.3695652173913043,70,591,0.2394927536231884,0.7605072463768117
low,5,vc,24,0.3695652173913043,0,691,0.2503623188405797,0.7496376811594203
low,5,crdt_pure,24,0.3695652173913043,0,509,0.18442028985507247,0.8155797101449276
low,5,crdt_lww,24,0.3695652173913043,70,591,0.2394927536231884,0.7605072463768117
low,5,leader,24,0.3695652173913043,0,185,0.06702898550724638,0.9329710144927537
low,5,ranked_pairs,24,0.3695652173913043,0,389,0.14094202898550726,0.8590579710144928
low,6,lww,24,0.4855072463768116,60,549,0.22065217391304348,0.7793478260869565
low,6,vc,24,0.4855072463768116,0,453,0.1641304347826087,0.8358695652173913
low,6,crdt_pure,24,0.4855072463768116,0,483,0.175,0.825
low,6,crdt_lww,24,0.4855072463768116,60,549,0.22065217391304348,0.7793478260869565
low,6,leader,24,0.4855072463768116,0,310,0.11231884057971014,0.8876811594202898
low,6,ranked_pairs,24,0.4855072463768116,0,369,0.13369565217391305,0.866304347826087
low,7,lww,24,0.32608695652173914,80,921,0.36268115942028983,0.6373188405797101
low,7,vc,24,0.32608695652173914,0,631,0.2286231884057971,0.7713768115942029
low,7,crdt_pure,24,0.32608695652173914,0,481,0.17427536231884058,0.8257246376811594
low,7,crdt_lww,24,0.32608695652173914,80,921,0.36268115942028983,0.6373188405797101
low,7,leader,24,0.32608695652173914,0,267,0.0967391304347826,0.9032608695652173
low,7,ranked_pairs,24,0.32608695652173914,0,399,0.14456521739130435,0.8554347826086957
low,8,lww,24,0.36594202898550726,110,767,0.3177536231884058,0.6822463768115943
