strategy,metric,n,mean,std,ci95_low,ci95_high
crdt_lww,ops_retained,15,1.0,0.0,,
crdt_lww,auto_coverage,15,1.0,0.0,,
crdt_lww,info_retention,15,0.6746926202813746,0.03715966012113551,0.6541142864154655,0.6952709541472836
crdt_lww,tau_causal,15,14.4,9.656973793955478,9.052146165531806,19.747853834468195
crdt_lww,semantic_validity,15,0.7487301587301588,0.29622512575214843,0.5846861519408872,0.9127741655194304
crdt_lww,gini,15,0.10895277442257129,0.029019025472153397,0.09288257376189202,0.12502297508325055
crdt_pure,ops_retained,15,1.0,0.0,,
crdt_pure,auto_coverage,15,0.5916666666666668,0.12420381355492795,0.5228848873279833,0.6604484460053502
crdt_pure,info_retention,15,0.7233325333785801,0.03285568197020301,0.705137663167956,0.7415274035892041
crdt_pure,tau_causal,15,0.0,0.0,,
crdt_pure,semantic_validity,15,0.7280952380952381,0.3223182446875116,0.5496013436777056,0.9065891325127706
crdt_pure,gini,15,0.13087305617334627,0.024990196834903864,0.11703394644610372,0.1447121659005888
leader,ops_retained,15,0.35,0.043983221909312295,0.32564290356807135,0.3743570964319286
leader,auto_coverage,15,1.0,0.0,,
leader,info_retention,15,0.9655328334484646,0.014471253533141892,0.9575189203585053,0.973546746538424
leader,tau_causal,15,1.0,2.6457513110645907,-0.4651682396386194,2.4651682396386194
leader,semantic_validity,15,1.0,0.0,,
leader,gini,15,0.2914832047079645,0.038500984397545415,0.2701620702165269,0.31280433919940215
lww,ops_retained,15,1.0,0.0,,
lww,auto_coverage,15,1.0,0.0,,
lww,info_retention,15,0.6746926202813746,0.03715966012113551,0.6541142864154655,0.6952709541472836
lww,tau_causal,15,14.4,9.656973793955478,9.052146165531806,19.747853834468195
lww,semantic_validity,15,0.7487301587301588,0.29622512575214843,0.5846861519408872,0.9127741655194304
lww,gini,15,0.10895277442257129,0.029019025472153397,0.09288257376189202,0.12502297508325055
ranked_pairs,ops_retained,15,1.0,0.0,,
ranked_pairs,auto_coverage,15,1.0,0.0,,
ranked_pairs,info_retention,15,0.7682176009201382,0.0268195137686501,0.753365449241315,0.7830697525989615
ranked_pairs,tau_causal,15,0.0,0.0,,
ranked_pairs,semantic_validity,15,0.86984126984127,0.1973559158494776,0.7605492065252,0.97913333315734
ranked_pairs,gini,15,0.1701483880805635,0.03221295566864473,0.1523094478320207,0.18798732832910633
vc,ops_retained,15,1.0,0.0,,
vc,auto_coverage,15,0.5916666666666667,0.12420381355492795,0.5228848873279832,0.6604484460053501
vc,info_retention,15,0.6132913588710456,0.050617093345933103,0.5852605468884019,0.6413221708536893
vc,tau_causal,15,0.0,0.0,,
vc,semantic_validity,15,0.7787301587301587,0.30099105638571294,0.6120468675276405,0.945413449932677
vc,gini,15,0.1072530633521204,0.031879652527523,0.08959870023087638,0.12490742647336442
